C1,C2,C3,C4,C5,C6,Tarih
Rahat,Sohbet,Aile Üyeleri,Hayır,Hayır,Hayır,Sat Feb 27 2021 20:00:55 GMT+0300 (+03)
Gergin,İş,Kimse yok,Evet,Hayır,Bilmiyorum,Sun Feb 28 2021 10:03:12 GMT+0300 (+03)
Memnun,İş,Birçok kişi,Hayır,Hayır,Bilmiyorum,Sun Feb 28 2021 12:03:24 GMT+0300 (+03)
Rahat,İş,Birçok kişi,Hayır,Hayır,Evet,Sun Feb 28 2021 14:06:46 GMT+0300 (+03)
Mutlu,Dinlenme,Aile Üyeleri,Hayır,Hayır,Hayır,Sun Feb 28 2021 18:01:47 GMT+0300 (+03)
Rahat,Müzik Dinlemek,Aile Üyeleri,Hayır,Hayır,Hayır,Sun Feb 28 2021 20:00:44 GMT+0300 (+03)
İyi,Çalışma,Aile Üyeleri,Hayır,Hayır,Evet,Mon Mar 01 2021 10:33:00 GMT+0300 (+03)
Memnun,İş,Yabancılar,Hayır,Evet,Evet,Mon Mar 01 2021 12:01:11 GMT+0300 (+03)
İyi,Diğer,Yabancılar,Hayır,Evet,Evet,Mon Mar 01 2021 14:02:49 GMT+0300 (+03)
Rahat,Video İzlemek,Aile Üyeleri,Hayır,Hayır,Evet,Mon Mar 01 2021 16:02:18 GMT+0300 (+03)
Rahat,Dinlenme,Kimse yok,Hayır,Hayır,Hayır,Mon Mar 01 2021 18:50:52 GMT+0300 (+03)
İyi,Hobi,Arkadaşlar,Hayır,Hayır,Hayır,Mon Mar 01 2021 20:46:23 GMT+0300 (+03)
İyi,Dinlenme,Aile Üyeleri,Hayır,Hayır,Evet,Tue Mar 02 2021 10:08:05 GMT+0300 (+03)
Rahat,Video İzlemek,Kimse yok,Hayır,Hayır,Evet,Tue Mar 02 2021 12:02:50 GMT+0300 (+03)
Rahat,Video İzlemek,Kimse yok,Hayır,Hayır,Evet,Tue Mar 02 2021 14:02:28 GMT+0300 (+03)
Mutlu,Video İzlemek,Kimse yok,Hayır,Hayır,Evet,Tue Mar 02 2021 16:02:29 GMT+0300 (+03)
İyi,Sohbet,Yabancılar,Hayır,Hayır,Evet,Tue Mar 02 2021 18:01:03 GMT+0300 (+03)
Rahat,Hobi,Aile Üyeleri,Hayır,Hayır,Hayır,Tue Mar 02 2021 20:03:35 GMT+0300 (+03)
Memnun,Dinlenme,Kimse yok,Hayır,Hayır,Evet,Wed Mar 03 2021 10:18:24 GMT+0300 (+03)
Mutlu,Video İzlemek,Kimse yok,Hayır,Hayır,Evet,Wed Mar 03 2021 11:59:07 GMT+0300 (+03)
İyi,Hobi,Aile Üyeleri,Hayır,Hayır,Hayır,Wed Mar 03 2021 15:58:44 GMT+0300 (+03)
Rahat,Diğer,Kimse yok,Hayır,Hayır,Evet,Wed Mar 03 2021 18:01:03 GMT+0300 (+03)
Endişeli,Video İzlemek,Aile Üyeleri,Hayır,Hayır,Hayır,Wed Mar 03 2021 20:01:02 GMT+0300 (+03)
Rahat,Dinlenme,Kimse yok,Hayır,Hayır,Evet,Thu Mar 04 2021 12:26:08 GMT+0300 (+03)
Rahat,Diğer,Aile Üyeleri,Hayır,Hayır,Evet,Thu Mar 04 2021 13:58:16 GMT+0300 (+03)
Rahat,Diğer,Aile Üyeleri,Hayır,Hayır,Evet,Thu Mar 04 2021 15:59:26 GMT+0300 (+03)
Rahat,Diğer,Birçok kişi,Hayır,Hayır,Evet,Thu Mar 04 2021 18:15:10 GMT+0300 (+03)
Rahat,Yeme / İçme,Aile Üyeleri,Hayır,Hayır,Hayır,Thu Mar 04 2021 20:02:47 GMT+0300 (+03)
Rahat,Video İzlemek,Aile Üyeleri,Hayır,Hayır,Hayır,Thu Mar 04 2021 22:04:00 GMT+0300 (+03)
